Classifier,Latitude,Longitude,Z_value
5,31.58607556,253.7801589,350.2308945
5,31.66883451,253.6979116,29.73658537
5,31.63908602,253.7274762,247.8048781
5,31.69813565,253.6687916,231.2845529
5,31.62163954,253.7448148,19.82439024
5,31.71110868,253.6558988,82.60162601
5,31.58115476,253.7850493,208.1560976
5,31.67196593,253.6947995,6.608130081
5,31.56862908,253.7974976,128.8585366
5,31.54022263,253.8257284,165.203252
5,31.59636451,253.7699336,522.0422763
5,31.71580581,253.6512307,118.9463415
5,31.65653251,253.7101375,52.86504065
5,31.65094069,253.7156948,370.0552846
5,31.62723136,253.7392575,284.1495935
5,31.62991544,253.7365901,274.2373984
5,31.71737152,253.6496746,39.64878048
5,31.58227312,253.7839379,446.0487804
5,31.56326093,253.8028325,277.5414634
5,31.67711041,253.6896869,112.3382114
5,31.59793022,253.7683776,426.2243903
5,31.553643,253.812391,75.99349593
5,31.53082837,253.8350646,95.81788617
5,31.56281359,253.8032771,389.8796747
5,31.55789278,253.8081675,75.99349593
5,31.6598876,253.7068032,132.1626016
5,31.69500423,253.6719036,244.500813
5,31.60173266,253.7645986,505.5219511
5,31.65474312,253.7119159,346.9268292
5,31.58697025,253.7792698,66.08130081
5,31.5947988,253.7714896,214.7642277
5,31.74846204,253.6187763,19.82439024
5,31.61828445,253.7481492,475.7853659
5,31.69053078,253.6763494,56.16910569
5,31.62007383,253.7463708,280.8455285
5,31.60531143,253.761042,132.1626016
5,31.64937498,253.7172508,261.0211382
5,31.56661602,253.7994982,3.30406504
5,31.60240368,253.7639318,413.00813
5,31.64467785,253.7219189,49.5609756
5,31.74823837,253.6189986,29.73658537
5,31.64982232,253.7168062,244.500813
5,31.6006143,253.7657101,551.7788618
5,31.57601028,253.790162,393.1837399
5,31.65519047,253.7114713,112.3382114
5,31.56751072,253.798609,284.1495935
5,31.5874176,253.7788252,489.0016259
5,31.56907643,253.797053,234.5886179
5,31.57757599,253.788606,82.60162601
5,31.6211922,253.7452594,175.1154472
5,31.61313998,253.7532618,109.0341463
5,31.56281359,253.8032771,370.0552846
5,31.54559078,253.8203934,75.99349593
5,31.6466909,253.7199183,261.0211382
5,31.70283278,253.6641235,142.0747967
5,31.66212433,253.7045803,320.494309
5,31.62052118,253.7459263,16.5203252
5,31.59323309,253.7730456,39.64878048
5,31.7167005,253.6503415,95.81788617
5,31.61917914,253.74726,307.2780487
5,31.57533927,253.7908289,343.6227643
5,31.57735232,253.7888282,462.5691056
5,31.60486408,253.7614866,132.1626016
5,31.6359546,253.7305882,191.6357724
5,31.57757599,253.788606,79.29756097
5,31.61828445,253.7481492,531.9544717
5,31.64892763,253.7176954,370.0552846
5,31.62499464,253.7414805,459.2650407
5,31.57108948,253.7950524,151.9869919
5,31.70417482,253.6627897,158.595122
5,31.57936538,253.7868276,413.00813
5,31.73123923,253.6358926,109.0341463
5,31.60978488,253.7565962,432.8325205
5,31.65720352,253.7094707,320.494309
5,31.66324269,253.7034688,297.3658537
5,31.72005559,253.6470071,13.21626016
5,31.59636451,253.7699336,343.6227643
5,31.60218001,253.764154,472.4813007
5,31.61090325,253.7554847,356.8390243
5,31.57533927,253.7908289,85.90569105
5,31.66346636,253.7032465,261.0211382
5,31.64199377,253.7245864,261.0211382
5,31.64848028,253.71814,165.203252
5,31.6442305,253.7223635,422.9203251
5,31.67979448,253.6870194,16.5203252
5,31.63796766,253.7285876,194.9398374
5,31.58697025,253.7792698,251.1089431
5,31.61246896,253.7539287,465.8731709
5,31.6598876,253.7068032,181.7235772
5,31.72184498,253.6452288,194.9398374
5,31.72296334,253.6441174,26.43252033
5,31.53440714,253.831508,13.21626016
5,31.70551686,253.661456,254.4130081
5,31.68717569,253.6796838,158.595122
5,31.63215217,253.7343672,313.8861788
5,31.65720352,253.7094707,191.6357724
5,31.7084246,253.6585662,247.8048781
5,31.65809822,253.7085815,158.595122
5,31.67711041,253.6896869,175.1154472
5,31.61761343,253.748816,59.47317073
5,31.70238544,253.6645681,62.77723577
5,31.62544198,253.7410359,39.64878048
5,31.68829405,253.6785723,23.12845529
5,31.57310254,253.7930518,317.1902441
5,31.6936622,253.6732374,320.494309
5,31.64065173,253.7259201,370.0552846
5,31.71960825,253.6474517,105.7300813
5,31.66324269,253.7034688,261.0211382
5,31.70618788,253.6607891,287.4536585
5,31.72251599,253.644562,201.5479675
5,31.67934714,253.687464,66.08130081
5,31.62454729,253.741925,495.609756
5,31.55878748,253.8072783,142.0747967
5,31.71759519,253.6494523,198.2439024
5,31.62141587,253.7450371,515.4341465
5,31.5404463,253.8255061,92.51382113
5,31.63125748,253.7352563,406.3999999
5,31.64042806,253.7261424,52.86504065
5,31.7167005,253.6503415,89.20975609
5,31.7274368,253.6396716,66.08130081
5,31.53843325,253.8275067,23.12845529
5,31.60866652,253.7577076,79.29756097
5,31.58115476,253.7850493,194.9398374
5,31.62745504,253.7390353,3.30406504
5,31.64780927,253.7188069,161.899187
5,31.70909562,253.6578994,16.5203252
5,31.62298158,253.7434811,257.7170732
5,31.68695201,253.6799061,201.5479675
5,31.53507815,253.8308411,85.90569105
5,31.6285734,253.7379238,422.9203251
5,31.69276751,253.6741265,277.5414634
5,31.64020439,253.7263647,413.00813
5,31.67330797,253.6934658,274.2373984
5,31.55453769,253.8115018,244.500813
5,31.58272047,253.7834933,23.12845529
5,31.57377356,253.7923849,376.6634147
5,31.6878467,253.6790169,6.608130081
5,31.56862908,253.7974976,208.1560976
5,31.65921658,253.7074701,297.3658537
5,31.60173266,253.7645986,373.3593495
5,31.71289806,253.6541204,251.1089431
5,31.66458473,253.7021351,46.25691056
5,31.6368493,253.7296991,158.595122
5,31.69500423,253.6719036,16.5203252
5,31.56080053,253.8052777,247.8048781
5,31.62052118,253.7459263,495.609756
5,31.69992504,253.6670133,313.8861788
5,31.5742209,253.7919403,138.7707317
5,31.66570309,253.7010236,327.1024391
5,31.6780051,253.6887977,234.5886179
5,31.56080053,253.8052777,234.5886179
5,31.65765087,253.7090261,155.2910569
5,31.6055351,253.7608197,280.8455285
5,31.62298158,253.7434811,26.43252033
5,31.5923384,253.7739348,19.82439024
5,31.58137843,253.784827,75.99349593
5,31.59681186,253.769489,148.6829268
5,31.68203121,253.6847965,66.08130081
5,31.56751072,253.798609,185.0276423
5,31.62879707,253.7377015,317.1902441
5,31.61917914,253.74726,89.20975609
5,31.63327053,253.7332557,3.30406504
5,31.53038102,253.8355092,46.25691056
5,31.58943065,253.7768246,79.29756097
5,31.56594501,253.800165,396.4878048
5,31.69813565,253.6687916,128.8585366
5,31.60396939,253.7623757,234.5886179
5,31.54424874,253.8217272,29.73658537
5,31.71245072,253.654565,135.4666667
5,31.68941241,253.6774609,254.4130081
5,31.56460297,253.8014988,353.5349594
5,31.5668397,253.7992759,115.6422764
5,31.60396939,253.7623757,307.2780487
5,31.59390411,253.7723788,261.0211382
5,31.5791417,253.7870499,151.9869919
5,31.65295374,253.7136942,277.5414634
5,31.6853863,253.6814621,158.595122
5,31.65563781,253.7110267,29.73658537
5,31.58070741,253.7854939,502.2178862
5,31.55386667,253.8121687,19.82439024
5,31.62320525,253.7432588,198.2439024
5,31.6153767,253.7510389,406.3999999
5,31.64601988,253.7205852,181.7235772
5,31.58518087,253.7810481,6.608130081
5,31.58428618,253.7819373,333.7105693
5,31.60150899,253.7648209,469.1772358
5,31.62231056,253.7441479,95.81788617
5,31.64601988,253.7205852,79.29756097
5,31.67241328,253.6943549,19.82439024
5,31.69970136,253.6672355,231.2845529
5,31.67979448,253.6870194,109.0341463
5,31.68001815,253.6867971,142.0747967
5,31.5849572,253.7812704,42.95284552
5,31.55274831,253.8132802,13.21626016
5,31.74913306,253.6181094,36.34471544
5,31.61425834,253.7521504,495.609756
5,31.69097812,253.6759049,194.9398374
5,31.57243152,253.7937186,135.4666667
5,31.63617828,253.7303659,185.0276423
5,31.59189106,253.7743794,39.64878048
5,31.69925402,253.6676801,234.5886179
5,31.57041846,253.7957192,422.9203251
5,31.60106164,253.7652655,548.4747969
5,31.65026967,253.7163617,287.4536585
5,31.61246896,253.7539287,89.20975609
5,31.59211473,253.7741571,237.8926829
5,31.6574272,253.7092484,257.7170732
5,31.69947769,253.6674578,333.7105693
5,31.60508775,253.7612643,373.3593495
5,31.63416522,253.7323666,66.08130081
5,31.56840541,253.7977199,201.5479675
5,31.5923384,253.7739348,370.0552846
5,31.66883451,253.6979116,327.1024391
5,31.58652291,253.7797144,313.8861788
5,31.56303726,253.8030548,294.0617886
5,31.56214257,253.803944,13.21626016
5,31.62432362,253.7421473,168.5073171
5,31.58204945,253.7841602,39.64878048
5,31.61135059,253.7550401,194.9398374
5,31.55744544,253.8086121,214.7642277
5,31.54581445,253.8201712,234.5886179
5,31.68270223,253.6841296,128.8585366
5,31.68068917,253.6861302,109.0341463
5,31.67599204,253.6907983,165.203252
5,31.72229232,253.6447842,29.73658537
5,31.65563781,253.7110267,89.20975609
5,31.59882491,253.7674884,46.25691056
5,31.70663522,253.6603446,59.47317073
5,31.74287022,253.6243336,42.95284552
5,31.61917914,253.74726,191.6357724
5,31.57981272,253.7863831,323.7983739
5,31.65541414,253.711249,198.2439024
5,31.73750207,253.6296685,118.9463415
5,31.66391371,253.702802,346.9268292
5,31.57198417,253.7941632,234.5886179
5,31.58272047,253.7834933,56.16910569
5,31.5766813,253.7894951,36.34471544
5,31.58764127,253.7786029,247.8048781
5,31.59435146,253.7719342,23.12845529
5,31.65295374,253.7136942,69.38536585
5,31.71580581,253.6512307,138.7707317
5,31.59390411,253.7723788,155.2910569
5,31.57108948,253.7950524,118.9463415
5,31.57556294,253.7906066,439.4406503
5,31.6030747,253.7632649,29.73658537
5,31.59524615,253.771045,49.5609756
5,31.71826621,253.6487855,148.6829268
5,31.57489192,253.7912734,188.3317073
5,31.56527399,253.8008319,194.9398374
5,31.63282319,253.7337003,59.47317073
5,31.65429578,253.7123604,396.4878048
5,31.6055351,253.7608197,270.9333333
5,31.61224528,253.754151,462.5691056
5,31.67286062,253.6939104,118.9463415
5,31.58316781,253.7830487,436.1365854
5,31.62320525,253.7432588,356.8390243
5,31.68359692,253.6832404,85.90569105
5,31.57444457,253.791718,234.5886179
5,31.63259951,253.7339226,383.2715449
5,31.62253423,253.7439256,19.82439024
5,31.70216177,253.6647904,142.0747967
5,31.61716609,253.7492606,29.73658537
5,31.57265519,253.7934963,33.0406504
5,31.63282319,253.7337003,85.90569105
5,31.63841501,253.728143,429.5284552
5,31.65899291,253.7076924,343.6227643
5,31.72922618,253.6378933,62.77723577
5,31.64087541,253.7256979,244.500813
5,31.69500423,253.6719036,72.68943089
5,31.6466909,253.7199183,125.5544715
5,31.60665346,253.7597082,419.6162602
5,31.71848988,253.6485632,95.81788617
5,31.64601988,253.7205852,16.5203252
5,31.68247856,253.6843519,175.1154472
5,31.5824968,253.7837156,33.0406504
5,31.53284143,253.833064,95.81788617
5,31.60195633,253.7643763,482.3934961
5,31.60486408,253.7614866,297.3658537
5,31.59524615,253.771045,227.9804878
5,31.71021399,253.6567879,82.60162601
5,31.53686754,253.8290628,118.9463415
5,31.7068589,253.6601223,155.2910569
5,31.60329837,253.7630426,66.08130081
5,31.58562822,253.7806035,436.1365854
5,31.56862908,253.7974976,112.3382114
5,31.58294414,253.783271,75.99349593
5,31.65720352,253.7094707,29.73658537
5,31.6129163,253.7534841,254.4130081
5,31.66905819,253.6976893,277.5414634
5,31.70663522,253.6603446,178.4195122
5,31.67397899,253.6927989,151.9869919
5,31.68180754,253.6850188,102.4260162
5,31.72139763,253.6456734,165.203252
5,31.62834973,253.7381461,479.0894308
5,31.55095893,253.8150585,33.0406504
5,31.60866652,253.7577076,201.5479675
5,31.57399723,253.7921626,237.8926829
5,31.65049334,253.7161394,241.196748
5,31.5791417,253.7870499,432.8325205
5,31.60486408,253.7614866,294.0617886
5,31.54961689,253.8163922,109.0341463
5,31.52903899,253.8368429,9.912195121
5,31.62320525,253.7432588,204.8520325
5,31.74421226,253.6229998,33.0406504
5,31.54268303,253.8232832,155.2910569
5,31.64848028,253.71814,257.7170732
5,31.57086581,253.7952747,128.8585366
5,31.63998072,253.726587,69.38536585
5,31.67017655,253.6965778,188.3317073
5,31.71871356,253.6483409,145.3788618
5,31.7372784,253.6298908,6.608130081
5,31.62163954,253.7448148,300.6699187
5,31.68270223,253.6841296,95.81788617
5,31.63461257,253.731922,69.38536585
5,31.61940281,253.7470377,194.9398374
5,31.63327053,253.7332557,356.8390243
5,31.67263695,253.6941327,46.25691056
5,31.60665346,253.7597082,241.196748
5,31.62387627,253.7425919,19.82439024
5,31.56482664,253.8012765,19.82439024
5,31.65094069,253.7156948,178.4195122
5,31.62409994,253.7423696,112.3382114
5,31.66301902,253.7036911,99.12195121
5,31.61940281,253.7470377,356.8390243
5,31.7446596,253.6225552,56.16910569
5,31.60598244,253.7603751,303.9739837
5,31.69254383,253.6743488,373.3593495
5,31.66659778,253.7001345,274.2373984
5,31.60978488,253.7565962,300.6699187
5,31.6574272,253.7092484,201.5479675
